钱包,总利润,总盈亏,买入次数,卖出次数,买入金额,卖出金额
0x9e7b8fe784127d5a31a1f61fb118806583a5216a,3879.634861383874,8.80624508155397,1,14,440.55494997639397,-4320.459168847772
0x46422dfb6ea053324bb2caea03a714ea01739ee5,3806.9272885864316,2.8803921284598966,2,13,1321.6698000844558,-5131.599191882936
0x5c3d88016a524a8f900af4b7ac93f318d414bc6a,3779.1156309497997,1.5240609356991641,4,9,2479.6355200956104,-6259.339603406083
0x2fc057421c73c1728118bc9630b7ae0a8f5b6460,3736.6838029383393,36.82848606095618,1,4,101.4617814252157,-3843.7088261703184
0x597b64dbcbbefb7dda8ababef9670e2d0bfb2449,3231.567826334881,0.5643182307549022,9,18,5726.4990748428145,-8961.86672016864
0xfc753506a2a8a40c5b96ef6db2b1be0e824b42a6,3230.1858983162588,0.8593890632989514,4,6,3758.700263087465,-6970.239179945992
0xcedf40bbb2cbb17d51b50599e4395dc5aa52d3e9,3183.4149138986154,7.227463127621653,1,3,440.4608999985565,-3638.693040636941
0xa7dcdbb572aa4c853a692e41b32acccd009b0bdc,3149.9255516576122,1.7695813305897097,1,7,1780.0399999744038,-4976.642753348387
0xa56a91034319f2f14815fe99460b98c0b6946a54,3428.969230146816,3.873573941810015,4,14,885.2210598423617,-3738.7140335799995
0x7e9cfcf4f58b9bf2bc9b41d08fbd0ef4c2de9ef2,2992.734140033638,3.3928610865053246,3,3,882.067984432625,-3874.8936043517956
0x705b8398cccad35737a96fe5c2378c0e64a830a0,2983.505153471123,6.21057670377232,3,16,480.3910000272494,-3467.215877372739
0x12a00ba248afbfab93d8d46ef23eb3b8f7a6b43f,2963.951923233121,3.0590298113648227,2,13,968.9189403194206,-3964.686304736315
0xaeca84c904a4a1181ffa3ea9b2393b29500cddc9,2747.950840367939,1.9612641510129485,3,5,1401.1120526262025,-4149.602814313859
0xf54d24eb48d5ed65506593a99630d791b2820c03,2647.903856428268,3.0050900640415152,1,5,881.1395998119035,-3529.5030628120485
0xafbdebbc9c67c5981e65970195b3453e46b13c2c,2646.1572956875066,0.8865319398560542,3,7,2984.8414667577144,-5539.748381665831
0xd8b8efca12dae1fe5f0980bacfb5bb7f43ff36c4,2447.840300489788,9.26231587312284,1,16,264.27951000816876,-2712.4473447610208
0x8cb1cd960d772805441962e860b80f515458bffb,3224.259133382503,1.5482370059951192,2,3,2082.5358914025774,-2751.0613733100063
0x7730b1bf8a21ce829b83e1a0f360fad61d6643e4,2426.069870698561,5.478992352120627,1,6,442.79490000739975,-2869.1172060383196
0xa5a3598b9fb47f617773c081124b320f93735894,2327.7747161527723,0.43251894308867356,16,12,5381.9023498250335,-7710.159643614157
0x9ba03200156d7889330fb65c4c4c8a672994488e,2280.033505946249,2.5877125261683953,1,2,881.0999996673803,-3162.302302276801
0xe21ce4d2e6656f9c82db444234af7f8dec83c888,2169.6815609416435,4.899479679411504,1,6,442.83917944573506,-2613.8168198328303
0xf934d6c8508103c713b200cf1761c326d75d3956,2158.0212336728,9.800861593858547,3,8,220.18689000006566,-2378.4245437284517
0x95fcf053e99acafcbdd4faaf10ae42e1886fdc4d,2148.775583219241,12.194669168712611,1,5,176.20614003471871,-2335.120103070972
0x3194002b6872b450e7835bb881dda2885b3872b1,2140.7508570557484,1.6203995614675755,3,10,1321.1253001802206,-3462.1480383493445
0xbd753b42e1fbcdc8fa77ae9bfc34f5ffad0c1723,2098.9436325982506,0.78994912011691,9,36,2657.0618020153165,-4762.295772112006
0x9663a1e99b66e7c934fe861b9c41078a10ed8ae6,2098.82846785669,0.8343925470396548,9,7,2515.396949916599,-4616.923454362581
0xdb2ffcdb8918e2f05c704533910cb30ddde97899,2073.0723051981504,3.9204465407172773,2,4,528.7847401227068,-2603.858040971924
